Year,Country,CountryCode,ParentCountry,ParentCountryCode,Sex,SexCode,AgeGroup,AgeGroupCode,SuicideRate
2019,Cote d'Ivoire,CIV,Africa,AFR,Both sexes,BTSX,25-34 years,YEARS25-34,7.96
2019,North Korea,PRK,South-East Asia,SEAR,Male,MLE,15-24 years,YEARS15-24,7.96
2019,DR Congo,COD,Africa,AFR,Both sexes,BTSX,35-44 years,YEARS35-44,7.96
2019,South Africa,ZAF,Africa,AFR,Female,FMLE,55-64 years,YEARS55-64,7.96
2019,Indonesia,IDN,South-East Asia,SEAR,Male,MLE,65-74 years,YEARS65-74,7.97
2019,Uganda,UGA,Africa,AFR,Male,MLE,25-34 years,YEARS25-34,7.97
2019,Benin,BEN,Africa,AFR,Male,MLE,15-24 years,YEARS15-24,7.98
2019,Tanzania,TZA,Africa,AFR,Male,MLE,25-34 years,YEARS25-34,7.98
2019,Morocco,MAR,Eastern Mediterranean,EMR,Both sexes,BTSX,15-24 years,YEARS15-24,7.99
2019,Sudan,SDN,Eastern Mediterranean,EMR,Male,MLE,45-54 years,YEARS45-54,7.99
2019,Tonga,TON,Western Pacific,WPR,Male,MLE,15-24 years,YEARS15-24,7.99
2019,Yemen,YEM,Eastern Mediterranean,EMR,Both sexes,BTSX,65-74 years,YEARS65-74,7.99
2019,Burkina Faso,BFA,Africa,AFR,Both sexes,BTSX,75-84 years,YEARS75-84,70.02
2019,Lesotho,LSO,Africa,AFR,Female,FMLE,35-44 years,YEARS35-44,70.11
2019,Mongolia,MNG,Western Pacific,WPR,Male,MLE,85+ years,YEARS85PLUS,70.13
2019,Gabon,GAB,Africa,AFR,Both sexes,BTSX,75-84 years,YEARS75-84,70.34
2019,Malawi,MWI,Africa,AFR,Female,FMLE,85+ years,YEARS85PLUS,70.38
2019,Central African Republic,CAF,Africa,AFR,Female,FMLE,85+ years,YEARS85PLUS,70.66
2019,Portugal,PRT,Europe,EUR,Male,MLE,85+ years,YEARS85PLUS,70.76
2019,Equatorial Guinea,GNQ,Africa,AFR,Both sexes,BTSX,75-84 years,YEARS75-84,70.91
2019,Suriname,SUR,Americas,AMR,Male,MLE,25-34 years,YEARS25-34,71.04
2019,Russia,RUS,Europe,EUR,Male,MLE,35-44 years,YEARS35-44,71.11
2019,Chad,TCD,Africa,AFR,Both sexes,BTSX,75-84 years,YEARS75-84,71.44
2019,Sierra Leone,SLE,Africa,AFR,Male,MLE,75-84 years,YEARS75-84,71.84
2019,China,CHN,Western Pacific,WPR,Both sexes,BTSX,85+ years,YEARS85PLUS,71.92
2019,Botswana,BWA,Africa,AFR,Male,MLE,65-74 years,YEARS65-74,71.96
2019,Mozambique,MOZ,Africa,AFR,Male,MLE,45-54 years,YEARS45-54,71.98
2019,Central African Republic,CAF,Africa,AFR,Both sexes,BTSX,65-74 years,YEARS65-74,72.05
2019,Switzerland,CHE,Europe,EUR,Male,MLE,85+ years,YEARS85PLUS,72.12
2019,Namibia,NAM,Africa,AFR,Both sexes,BTSX,85+ years,YEARS85PLUS,72.22
2019,Botswana,BWA,Africa,AFR,Male,MLE,55-64 years,YEARS55-64,72.35
2019,Lithuania,LTU,Europe,EUR,Male,MLE,75-84 years,YEARS75-84,72.64
2019,Suriname,SUR,Americas,AMR,Both sexes,BTSX,75-84 years,YEARS75-84,72.66
2019,Equatorial Guinea,GNQ,Africa,AFR,Female,FMLE,85+ years,YEARS85PLUS,72.88
2019,Somalia,SOM,Eastern Mediterranean,EMR,Male,MLE,65-74 years,YEARS65-74,73.14
2019,Russia,RUS,Europe,EUR,Male,MLE,75-84 years,YEARS75-84,73.19
2019,Namibia,NAM,Africa,AFR,Male,MLE,75-84 years,YEARS75-84,73.53
2019,Niger,NER,Africa,AFR,Male,MLE,75-84 years,YEARS75-84,73.85
2019,Eritrea,ERI,Africa,AFR,Both sexes,BTSX,75-84 years,YEARS75-84,73.93
2019,South Africa,ZAF,Africa,AFR,Male,MLE,25-34 years,YEARS25-34,74.34
2019,Central African Republic,CAF,Africa,AFR,Both sexes,BTSX,75-84 years,YEARS75-84,74.37
2019,South Sudan,SSD,Africa,AFR,Male,MLE,75-84 years,YEARS75-84,74.39
2019,Tanzania,TZA,Africa,AFR,Female,FMLE,85+ years,YEARS85PLUS,74.4
2019,Equatorial Guinea,GNQ,Africa,AFR,Male,MLE,65-74 years,YEARS65-74,74.79
2019,Solomon Islands,SLB,Western Pacific,WPR,Male,MLE,85+ years,YEARS85PLUS,74.95
2019,Zimbabwe,ZWE,Africa,AFR,Male,MLE,45-54 years,YEARS45-54,74.97
2019,Hungary,HUN,Europe,EUR,Male,MLE,75-84 years,YEARS75-84,74.99
2019,Samoa,WSM,Western Pacific,WPR,Male,MLE,85+ years,YEARS85PLUS,75.02
2019,Eswatini,SWZ,Africa,AFR,Both sexes,BTSX,35-44 years,YEARS35-44,75.03
2019,Chad,TCD,Africa,AFR,Male,MLE,65-74 years,YEARS65-74,75.14
2019,Eritrea,ERI,Africa,AFR,Female,FMLE,85+ years,YEARS85PLUS,75.17
2019,Bulgaria,BGR,Europe,EUR,Male,MLE,85+ years,YEARS85PLUS,75.38
