CountryCode,country-code,iso_3166-2,region-code,sub-region-code,F1,CountryName,region,sub-region,Inequality,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
IRL,372,ISO 3166-2:IE,150,154,83,Ireland,Europe,Northern Europe,Total,7,1,82,5.25,67,75.9,0.7,25310,217130,20,7.8,81.8,7,3.23,47653,95,2.1,83,1.3,509,,65,85,18.1
IRL,372,ISO 3166-2:IE,150,154,82,Ireland,Europe,Northern Europe,Men,,,79,8.25,73,83.2,1.1,,,,10.5,79.9,7,3.83,,94,,83,,511,,,85,18.1
IRL,372,ISO 3166-2:IE,150,154,81,Ireland,Europe,Northern Europe,Low,,,,,,,,,,,16.32,,,,,,,72,,472,,,,
IRL,372,ISO 3166-2:IE,150,154,80,Ireland,Europe,Northern Europe,High,,,,,,,,,,,4.1,,7.2,,,95,,93,,550,,,,
ISR,376,ISO 3166-2:IL,142,145,89,Israel,Asia,Western Asia,Women,,,88,7.08,66,62.1,0.7,,,,,84.2,7.1,0.48,,88,,82,,473,,,66,16.1
ISR,376,ISO 3166-2:IL,142,145,88,Israel,Asia,Western Asia,Total,21,,87,15.45,69,69.8,1.8,,,,4.2,82.5,7.2,0.49,35067,88,1.2,84,2.5,472,,72,67,15.6
ISR,376,ISO 3166-2:IL,142,145,87,Israel,Asia,Western Asia,Men,,,87,23.29,72,78,3,,,,,80.7,7.2,0.49,,88,,85,,470,,,68,15.2
ISR,376,ISO 3166-2:IL,142,145,86,Israel,Asia,Western Asia,Low,,,,,,,,,,,,,,,,,,,,421,,,,
ISR,376,ISO 3166-2:IL,142,145,85,Israel,Asia,Western Asia,High,,,,,,,,,,,,,7.4,,,90,,96,,514,,,,
ITA,380,ISO 3166-2:IT,150,39,94,Italy,Europe,Southern Europe,Women,,,63,2.25,49,52.6,0.3,,,,12.5,85.6,5.9,7.16,,91,,68,,482,15.52,,69,17
ITA,380,ISO 3166-2:IT,150,39,93,Italy,Europe,Southern Europe,Total,18,0.7,61,4.11,58,58.4,0.6,26588,279889,23,12.3,83.3,6,6.59,36658,92,1.4,71,2.5,485,16.47,73,71,16.6
ITA,380,ISO 3166-2:IT,150,39,92,Italy,Europe,Southern Europe,Men,,,59,5.65,67,64.8,0.9,,,,12.1,81,6.2,6.17,,92,,74,,489,16.95,,73,16.2
ITA,380,ISO 3166-2:IT,150,39,91,Italy,Europe,Southern Europe,Low,,,,,,,,,,,16.78,,5.7,,,90,,69,,445,,,,
ITA,380,ISO 3166-2:IT,150,39,90,Italy,Europe,Southern Europe,High,,,,,,,,,,,6.98,,6.9,,,94,,77,,524,,,,
JPN,392,ISO 3166-2:JP,142,30,99,Japan,Asia,Eastern Asia,Women,,,,,67,64.8,0.2,,,,0.3,87.1,6,0.58,,93,,34,,527,,,86,16.3
JPN,392,ISO 3166-2:JP,142,30,98,Japan,Asia,Eastern Asia,Total,14,6.4,,,75,72.5,0.2,29798,305878,22,1.4,84.1,5.9,1.03,40863,89,1.9,36,1.4,529,,53,87,16.4
JPN,392,ISO 3166-2:JP,142,30,97,Japan,Asia,Eastern Asia,Men,,,,,83,81.1,0.2,,,,2.4,81,5.8,1.38,,85,,37,,531,,,88,16.4
JPN,392,ISO 3166-2:JP,142,30,96,Japan,Asia,Eastern Asia,Low,,,,,,,,,,,4.35,,,,,88,,28,,489,,,,
JPN,392,ISO 3166-2:JP,142,30,95,Japan,Asia,Eastern Asia,High,,,,,,,,,,,2.65,,,,,,,39,,568,,,,
KOR,410,ISO 3166-2:KR,142,30,167,South Korea,Asia,Eastern Asia,Women,,,85,,57,60,1,,,,2.1,85.4,6.1,0.05,,81,,29,,529,14,,76,16.7
KOR,410,ISO 3166-2:KR,142,30,166,South Korea,Asia,Eastern Asia,Total,28,2.5,88,,67,66.6,1,21882,285980,15,2.6,82.4,5.9,0.05,35191,78,1.5,33,2.9,519,14.7,77,76,17.3
KOR,410,ISO 3166-2:KR,142,30,165,South Korea,Asia,Eastern Asia,Men,,,90,,76,73.4,1,,,,3.1,79.3,5.6,0.05,,76,,36,,510,15.05,,76,17.8
KOR,410,ISO 3166-2:KR,142,30,164,South Korea,Asia,Eastern Asia,Low,,,,,,,,,,,1.11,,,,,,,29,,480,,,,
KOR,410,ISO 3166-2:KR,142,30,163,South Korea,Asia,Eastern Asia,High,,,,,,,,,,,2.6,,,,,,,38,,562,,,,
LVA,428,ISO 3166-2:LV,150,154,104,Latvia,Europe,Northern Europe,Women,,,91,0.87,68,54.4,2.8,,,,8,79.6,6,2.65,,89,,43,,496,13.45,,80,18.7
LVA,428,ISO 3166-2:LV,150,154,103,Latvia,Europe,Northern Europe,Total,11,13.9,88,1.27,70,62.4,4.8,16275,70160,23,9.6,74.7,5.9,3.35,23683,86,1.2,47,2.2,487,13.83,59,79,18
LVA,428,ISO 3166-2:LV,150,154,102,Latvia,Europe,Northern Europe,Men,,,84,1.7,72,72.4,7.2,,,,11.1,69.8,5.9,4.06,,83,,53,,478,14.2,,79,17.4
LVA,428,ISO 3166-2:LV,150,154,101,Latvia,Europe,Northern Europe,Low,,,,,,,,,,,23.29,,5.4,,,82,,28,,456,,,,
LVA,428,ISO 3166-2:LV,150,154,100,Latvia,Europe,Northern Europe,High,,,,,,,,,,,4.59,,6.5,,,91,,69,,521,,,,
LTU,440,ISO 3166-2:LT,150,154,109,Lithuania,Europe,Northern Europe,Women,,,95,0.43,70,51.2,1.7,,,,,80.1,6,2.18,,88,,40,,483,,,82,18.8
LTU,440,ISO 3166-2:LT,150,154,108,Lithuania,Europe,Northern Europe,Total,14,13.6,93,0.54,70,55.9,3.4,21660,,19,,74.8,5.9,2.69,24287,88,1.5,43,2.4,475,,51,81,18.4
LTU,440,ISO 3166-2:LT,150,154,107,Lithuania,Europe,Northern Europe,Men,,,90,0.67,71,61.6,5.2,,,,,69.5,5.9,3.22,,87,,49,,468,,,79,18
LTU,440,ISO 3166-2:LT,150,154,106,Lithuania,Europe,Northern Europe,Low,,,,,,,,,,,,,5.6,,,87,,29,,438,,,,
LTU,440,ISO 3166-2:LT,150,154,105,Lithuania,Europe,Northern Europe,High,,,,,,,,,,,,,6.5,,,92,,67,,519,,,,
